item_code,item_description,product_description,supplier_reference,item_quantity,item_value,sales_order,sales_order_line,po_line,size,quantity,uom,price,price_per,ship_mode,source_page
2001437813,LBL LB07655 PPK1023 C1 MWW001,LB 07655 PPK-1023 C1,416219/QE7,"10,743.000",334.25,1001667399,10,80,M,"1,287.000",PC,31.11,1000,Truck,4
2001437813,LBL LB07655 PPK1023 C1 MWW001,LB 07655 PPK-1023 C1,416219/QE7,"10,743.000",334.25,1001667399,10,80,S,718.000,PC,31.11,1000,Truck,4
2001437813,LBL LB07655 PPK1023 C1 MWW001,LB 07655 PPK-1023 C1,416219/QE7,"10,743.000",334.25,1001667399,10,80,XL,428.000,PC,31.11,1000,Truck,4
2001437813,LBL LB07655 PPK1023 C1 MWW001,LB 07655 PPK-1023 C1,416219/QE7,"10,743.000",334.25,1001667399,10,80,XS,229.000,PC,31.11,1000,Truck,4
2001437817,LBL LB07655 PPK1023 C1 MWW001,LB 07655 PPK-1023 C1,416219/QEK,"10,743.000",334.25,1001667108,10,30,L,126.000,PC,31.11,1000,Truck,5
2001437817,LBL LB07655 PPK1023 C1 MWW001,LB 07655 PPK-1023 C1,416219/QEK,"10,743.000",334.25,1001667108,10,30,M,312.000,PC,31.11,1000,Truck,5
2001437817,LBL LB07655 PPK1023 C1 MWW001,LB 07655 PPK-1023 C1,416219/QEK,"10,743.000",334.25,1001667108,10,30,S,235.000,PC,31.11,1000,Truck,5
2001437817,LBL LB07655 PPK1023 C1 MWW001,LB 07655 PPK-1023 C1,416219/QEK,"10,743.000",334.25,1001667108,10,30,XL,57.000,PC,31.11,1000,Truck,5
2001437817,LBL LB07655 PPK1023 C1 MWW001,LB 07655 PPK-1023 C1,416219/QEK,"10,743.000",334.25,1001667108,10,30,XS,89.000,PC,31.11,1000,Truck,5
2001437817,LBL LB07655 PPK1023 C1 MWW001,LB 07655 PPK-1023 C1,416219/QEK,"10,743.000",334.25,1001667234,10,20,L,800.000,PC,31.11,1000,Truck,5
2001437817,LBL LB07655 PPK1023 C1 MWW001,LB 07655 PPK-1023 C1,416219/QEK,"10,743.000",334.25,1001667234,10,20,M,988.000,PC,31.11,1000,Truck,5
2001437817,LBL LB07655 PPK1023 C1 MWW001,LB 07655 PPK-1023 C1,416219/QEK,"10,743.000",334.25,1001667234,10,20,S,663.000,PC,31.11,1000,Truck,5
2001437817,LBL LB07655 PPK1023 C1 MWW001,LB 07655 PPK-1023 C1,416219/QEK,"10,743.000",334.25,1001667234,10,20,XL,467.000,PC,31.11,1000,Truck,5
2001437817,LBL LB07655 PPK1023 C1 MWW001,LB 07655 PPK-1023 C1,416219/QEK,"10,743.000",334.25,1001667234,10,20,XS,261.000,PC,31.11,1000,Truck,5
2001437817,LBL LB07655 PPK1023 C1 MWW001,LB 07655 PPK-1023 C1,416219/QEK,"10,743.000",334.25,1001667234,10,20,XXL,252.000,PC,31.11,1000,Truck,5
2001437817,LBL LB07655 PPK1023 C1 MWW001,LB 07655 PPK-1023 C1,416219/QEK,"10,743.000",334.25,1001667260,10,10,L,800.000,PC,31.11,1000,Truck,5
2001437817,LBL LB07655 PPK1023 C1 MWW001,LB 07655 PPK-1023 C1,416219/QEK,"10,743.000",334.25,1001667260,10,10,M,987.000,PC,31.11,1000,Truck,5
2001437817,LBL LB07655 PPK1023 C1 MWW001,LB 07655 PPK-1023 C1,416219/QEK,"10,743.000",334.25,1001667260,10,10,S,663.000,PC,31.11,1000,Truck,5
2001437817,LBL LB07655 PPK1023 C1 MWW001,LB 07655 PPK-1023 C1,416219/QEK,"10,743.000",334.25,1001667260,10,10,XL,466.000,PC,31.11,1000,Truck,5
2001437817,LBL LB07655 PPK1023 C1 MWW001,LB 07655 PPK-1023 C1,416219/QEK,"10,743.000",334.25,1001667260,10,10,XS,260.000,PC,31.11,1000,Truck,5
2001437817,LBL LB07655 PPK1023 C1 MWW001,LB 07655 PPK-1023 C1,416219/QEK,"10,743.000",334.25,1001667260,10,10,XXL,251.000,PC,31.11,1000,Truck,5
2001437817,LBL LB07655 PPK1023 C1 MWW001,LB 07655 PPK-1023 C1,416219/QEK,"10,743.000",334.25,1001667399,10,40,L,404.000,PC,31.11,1000,Truck,5
2001437817,LBL LB07655 PPK1023 C1 MWW001,LB 07655 PPK-1023 C1,416219/QEK,"10,743.000",334.25,1001667399,10,40,M,"1,287.000",PC,31.11,1000,Truck,5
2001437817,LBL LB07655 PPK1023 C1 MWW001,LB 07655 PPK-1023 C1,416219/QEK,"10,743.000",334.25,1001667399,10,40,S,718.000,PC,31.11,1000,Truck,5
2001437817,LBL LB07655 PPK1023 C1 MWW001,LB 07655 PPK-1023 C1,416219/QEK,"10,743.000",334.25,1001667399,10,40,XL,428.000,PC,31.11,1000,Truck,5
2001437817,LBL LB07655 PPK1023 C1 MWW001,LB 07655 PPK-1023 C1,416219/QEK,"10,743.000",334.25,1001667399,10,40,XS,229.000,PC,31.11,1000,Truck,5
